OldCantus,New Syllabification,X Responsible,Notes
i-ni-mi-co-rum,in-i-mi-co-rum,N,
i-no-pem,in-o-pem,N,
i-nius-te,in-ius-te,N,
i-ni-qui-ta-tes,in-i-qui-ta-tes,N,
i-ni-qui-ta-tem,in-i-qui-ta-tem,N,
i-nius-ti-ti-a,in-ius-ti-ti-a,N,
i-ni-mi-cis,in-i-mi-cis,N,
yp-mnum,ypm-num,,Typo for hymnum?
con-tem-pnen-tes,con-temp-nen-tes,M,
tran-sfi-gu-ra-tus,trans-fi-gu-ra-tus,,
as-sum-ptus,as-sump-tus,M,
sol-lem-pni-ta-tis,sol-lemp-ni-ta-tis,M,
re-dem-ptus,re-demp-tus,M,
Ab-scon-di-te,Abs-con-di-te,N,
re-dem-pto-ri,re-demp-to-ri,M,
con-tem-pno,con-temp-no,M,
vi-js,vijs,Q,
Fi-li-j,Fi-lij,Q,
su-bi-it,sub-iit,Q,
domine,do-mi-ne,D,
sol-lem-pni-a,sol-lemp-ni-a,M,
re-dem-pti-o,re-demp-ti-o,M,
sileas,si-le-as,D,
finibus,fi-ni-bus,D,
re-dem-pti-o-nem,re-demp-ti-o-nem,M,
terra,ter-ra,D,
psalmum,psal-mum,D,
nubes,nu-bes,D,
Su-bi-e-cit,Sub-ie-cit,Q,
co-e-ta-ne-os,coe-ta-ne-os,Q,
i-ni-ti-um,in-i-ti-um,N,
fremuerunt,fre-mu-e-runt,D,
multiplicati,mul-ti-pli-ca-ti,D,
pe-ri-e-runt,per-ie-runt,Q,
domino,do-mi-no,D,
confido,con-fi-do,D,
Mi-cha-el,Mi-chael,Q,
gel-bo-e,gel-boe,Q,
i-nius-ti,in-ius-ti,N,
con-dem-pna-bunt,con-demp-na-bunt,M,
ultionum,ul-ti-o-num,D,
re-dem-ptor,re-demp-tor,M,
virtute,vir-tu-te,D,
As-sum-psit,As-sump-sit,M,
o-bi-ci-te,ob-i-ci-te,N,
con-dem-pna-bi-tur,con-demp-na-bi-tur,M,
mei,me-i,D,
o-be-di-re,ob-e-di-re,N,
con-tem-psi,con-temp-si,M,
aa-ron,a-a-ron,Q,
gentes,gen-tes,D,
regis,re-gis,D,
auferam,au-fe-ram,D,
perpetuum,per-pe-tu-um,D,
Also,Al-so,D,
de-duc-is,de-du-cis,,
vel-ut,ve-lut,,
ov-em,o-vem,,
i-ni-qui,in-i-qui,N,
a-ba-cum,ab-a-cum,N,
Eu-ge,E-u-ge,Q,
aspi,as-pi,D,
lin-gu-is,lin-guis,Q,
in-tro-i-it,in-tro-iit,Q,
suum,su-um,D,
pe-riu-rem,per-iu-rem,N,
tantum,tan-tum,D,
ab-scon-di,abs-con-di,N,
im-pi-j,im-pij,Q,
o-pe-ra-ri-js,o-pe-ra-rijs,Q,
di-lu-vi-j,di-lu-vij,Q,
enarrant,e-nar-rant,,
ob-scu-re-tur,obs-cu-re-tur,,
hy-ems,hyems,,
eo,e-o,,
A-quae,A-qua-e,,
ny-co-la-us,ny-co-laus,,
resonabat,re-so-na-bat,,
orationem,o-ra-ti-o-nem,,
Ky-ri-e-ley-son,Ky-ri-e-le-y-son,,
quae,qua-e,,
pe-ti-jt,pe-tijt,,
con-dem-pna-bant,con-demp-na-bant,,
venerunt,ve-ne-runt,,
a-bi-e-ro,ab-ie-ro,,
ab-scon-di-tum,abs-con-di-tum,,
Is-ra-el,Is-rael,,
i-ni-quis,in-i-quis,,
ni-co-la-e,ni-co-lae,,
pos-tquam,post-quam,,
a-biec-ti-o,ab-iec-ti-o,,
Bea-tus,Be-a-tus,,
lai-sat,la-i-sat,,
no-el,noel,,
Kyi-ri-e,Ky-i-ri-e,,
le-ua-ui,le-u-au-i,,
e-ru-be-scam,e-ru-bes-cam,,
et-e-nim,e-te-nim,,
u-ni-uer-si,u-ni-u-er-si,,
i-ni-mi-ci,in-i-mi-ci,,
sua-vi-ta-tis,su-a-vi-ta-tis,,
fru-ctum,fruc-tum,,
se-pul-chro,se-pulch-ro,,
dis-ci-pul-is,dis-ci-pu-lis,,
tem-pta-ci-o-nis,temp-ta-ci-o-nis,,
tem-pta-ve-runt,temp-ta-ve-runt,,
sa-ul,saul,,
dimittis,di-mit-tis,,
mea,me-a,,
co-e-ter-na,coe-ter-na,,
lan-gu-e-o,lan-gue-o,,
I-nun-da-ve-runt,In-un-da-ve-runt,,
pe-ri-j,per-ij,,
ius-iu-ran-dum,iu-si-u-ran-dum,,
miserere,mi-se-re-re,,
i-ens,iens,,
ber-nhar-di,bern-har-di,,
de-,de,,
nomine,no-mi-ne,,
a-thle-te,ath-le-te,,
pueri,pu-e-ri,,
con-dem-pna-tum,con-demp-na-tum,,
o-bum-bra-bit,ob-um-bra-bit,,
re-dem-pti-o-nis,re-demp-ti-o-nis,,
bar-io-na,ba-ri-o-na,,
e-u-o-a-u-e,e-u-o-au-e,,
cir-cum-de-der-unt,cir-cum-de-de-runt,,
no-e,noe,,
ramis,ra-mis,,
e-u-o-o-u-a-e,e-u-o-o-u-ae,,
I-ni-mi-co,In-i-mi-co,,
diis,di-is,,
Ia-nua-ri,Ia-nu-a-ri,,
a-,a,,
humilitatem,hu-mi-li-ta-tem,,
i-ni-qui-ta-tis,in-i-qui-ta-tis,,
eu-ro-pe,e-u-ro-pe,,
dominum,do-mi-num,,
tribularer,tri-bu-la-rer,,
a-li-j,a-lij,,
